PGS Performance Metric (PPM) ID,Evaluated Score,PGS Sample Set (PSS),PGS Publication (PGP) ID,Reported Trait,Covariates Included in the Model,PGS Performance: Other Relevant Information,Publication (PMID),Publication (doi),Hazard Ratio (HR),Odds Ratio (OR),Beta,Area Under the Receiver-Operating Characteristic Curve (AUROC),Concordance Statistic (C-index),Other Metric(s)
PPM000001,PGS000001,PSS000001,PGP000001,All breast cancer,,,25855707,10.1093/jnci/djv036,,"1.55 [1.52,1.58]",,,"0.622 [0.619,0.627]",
PPM000002,PGS000002,PSS000003,PGP000001,ER-positive breast cancer,,,25855707,10.1093/jnci/djv036,,"1.63 [1.6,1.67]",,,,
PPM000003,PGS000003,PSS000002,PGP000001,ER-negative breast cancer,,,25855707,10.1093/jnci/djv036,,"1.45 [1.4,1.49]",,,,
PPM000004,PGS000004,PSS000004,PGP000002,Invasive breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.61 [1.57,1.65]",,0.63,,
PPM000005,PGS000004,PSS000007,PGP000002,Incident breast cancer cases,"study, genetic PCs 1-15",Included only 306 of the 313 SNPs,30554720,10.1016/j.ajhg.2018.11.002,"1.59 [1.54,1.64]",,,,,
PPM000006,PGS000005,PSS000005,PGP000002,ER-positive breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.68 [1.63,1.73]",,0.641,,
PPM000007,PGS000006,PSS000006,PGP000002,ER-negative breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.45 [1.37,1.53]",,0.601,,
PPM000008,PGS000007,PSS000004,PGP000002,Invasive breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.66 [1.61,1.7]",,0.636,,
PPM000009,PGS000008,PSS000005,PGP000002,ER-positive breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.73 [1.68,1.78]",,0.647,,
PPM000010,PGS000009,PSS000006,PGP000002,ER-negative breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.44 [1.36,1.53]",,0.6,,
PPM000011,PGS000001,PSS000004,PGP000002,Invasive breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.46 [1.42,1.49]",,0.603,,
PPM000012,PGS000002,PSS000005,PGP000002,ER-positive breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.52 [1.48,1.56]",,0.615,,
PPM000013,PGS000003,PSS000006,PGP000002,ER-negative breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.35 [1.27,1.43]",,0.584,,
PPM000014,PGS000010,PSS000008,PGP000003,Coronary heart disease,"age, sex, diabetes status, smoking, race, family history of coronary heart disease, HDL cholesterol, LDL cholesterol, and hypertension",Meta-analysis of sub-cohort effect sizes,25748612,10.1016/S0140-6736(14)61730-X,"1.21 [1.17,1.26]",,,,,
PPM000015,PGS000010,PSS000009,PGP000003,Coronary heart disease,"age, sex, diabetes status, smoking, race, family history of coronary heart disease, HDL cholesterol, LDL cholesterol, and hypertension",Meta-analysis of sub-cohort effect sizes,25748612,10.1016/S0140-6736(14)61730-X,"1.14 [1.02,1.28]",,,,,
PPM000016,PGS000011,PSS000010,PGP000004,Incident coronary heart disease,"age, sex, systolic blood pressure, hypertension treatment, smoking, apoB, apoA-I, prevalent diabetes",,26392438,10.1093/eurheartj/ehv462,"1.23 [1.18,1.28]",,,,,
PPM000017,PGS000010,PSS000010,PGP000004,Incident coronary heart disease,"age, sex, systolic blood pressure, hypertension treatment, smoking, apoB, apoA-I, prevalent diabetes",,26392438,10.1093/eurheartj/ehv462,"1.2 [1.15,1.25]",,,,,
PPM000018,PGS000012,PSS000012,PGP000005,Incident coronary artery disease,"sex, sub-cohort, location (east/west), 5 genetic PCs","Used only the 42,364 SNPs that were available in FINRISK",27655226,10.1093/eurheartj/ehw450,"1.74 [1.61,1.86]","1.74 [1.61,1.89]",,,,
PPM000019,PGS000010,PSS000012,PGP000005,Incident coronary artery disease,,,27655226,10.1093/eurheartj/ehw450,"1.21 [1.12,1.3]",,,,,
PPM000020,PGS000012,PSS000011,PGP000005,Incident coronary artery disease,"sex, sub-cohort, 5 genetic PCs","Used only the 46,773 SNPs that were available in FHS",27655226,10.1093/eurheartj/ehw450,"1.28 [1.18,1.38]","1.28 [1.17,1.41]",,,,
PPM000021,PGS000010,PSS000011,PGP000005,Incident coronary artery disease,,,27655226,10.1093/eurheartj/ehw450,"1.2 [1.07,1.26]",,,,,
PPM000022,PGS000013,PSS000015,PGP000006,Coronary artery disease,age; sex; Ancestry PC 1-4; genotyping chip,,30104762,10.1038/s41588-018-0183-z,,,,"0.81 [0.81,0.81]",,Nagelkerke’s R2 (estimate of variance explained by the PGS after covariate adjustment) = 0.04
PPM000023,PGS000014,PSS000017,PGP000006,Type 2 diabetes,age; sex; Ancestry PC 1-4; genotyping chip,,30104762,10.1038/s41588-018-0183-z,,,,"0.73 [0.72,0.73]",,Nagelkerke’s R2 (estimate of variance explained by the PGS after covariate adjustment) = 0.029
PPM000024,PGS000015,PSS000014,PGP000006,Breast cancer,age; sex; Ancestry PC 1-4; genotyping chip,,30104762,10.1038/s41588-018-0183-z,,,,"0.69 [0.68,0.69]",,Nagelkerke’s R2 (estimate of variance explained by the PGS after covariate adjustment) = 0.027
PPM000025,PGS000016,PSS000013,PGP000006,Atrial fibrillation,age; sex; Ancestry PC 1-4; genotyping chip,,30104762,10.1038/s41588-018-0183-z,,,,"0.77 [0.76,0.77]",,Nagelkerke’s R2 (estimate of variance explained by the PGS after covariate adjustment) = 0.029
PPM000026,PGS000017,PSS000016,PGP000006,Inflammatory bowel disease,age; sex; Ancestry PC 1-4; genotyping chip,,30104762,10.1038/s41588-018-0183-z,,,,"0.63 [0.62,0.64]",,Nagelkerke’s R2 (estimate of variance explained by the PGS after covariate adjustment) = 0.021
PPM000027,PGS000018,PSS000018,PGP000007,Incident coronary artery disease,"sex, genetic PCs (1-10), genotyping array",age-as-time-scale Cox regression,30309464,10.1016/j.jacc.2018.07.079,"1.706 [1.682,1.73]",,,0.79,"0.623 [0.615,0.631]",AUPRC = 0.161
PPM000028,PGS000012,PSS000018,PGP000007,Incident coronary artery disease,"sex, genetic PCs (1-10), genotyping array","Used GRS46K (excludes A/T and C/G SNPs, with performance similar to GRS49K)",30309464,10.1016/j.jacc.2018.07.079,"1.524 [1.498,1.551]",,,,,
PPM000029,PGS000011,PSS000018,PGP000007,Incident coronary artery disease,"sex, genetic PCs (1-10), genotyping array",,30309464,10.1016/j.jacc.2018.07.079,"1.263 [1.247,1.28]",,,,,
PPM000030,PGS000013,PSS000021,PGP000008,Coronary artery disease (prevalent),"age, sex, first four genetic PCs",,31184202,10.1161/CIRCGEN.119.002481,,"1.64 [1.48,1.81]",,"0.72 [0.7,0.74]",,
PPM000031,PGS000013,PSS000022,PGP000008,Coronary artery disease (prevalent),"age, sex, first four genetic PCs",,31184202,10.1161/CIRCGEN.119.002481,,"1.55 [1.38,1.73]",,"0.89 [0.88,0.91]",,
PPM000032,PGS000013,PSS000019,PGP000008,Coronary artery disease (prevalent),"age, sex, first four genetic PCs, cohort recruitment centre",,31184202,10.1161/CIRCGEN.119.002481,,"1.69 [1.44,1.99]",,"0.84 [0.81,0.87]",,
PPM000033,PGS000013,PSS000020,PGP000008,Reccurent coronary artery disease events,"age, sex, first four genetic PCs",,31184202,10.1161/CIRCGEN.119.002481,,"1.13 [1.06,1.22]",,,,
PPM000034,PGS000018,PSS000021,PGP000008,Coronary artery disease (prevalent),"age, sex, first four genetic PCs",,31184202,10.1161/CIRCGEN.119.002481,,"1.74 [1.57,1.93]",,"0.72 [0.7,0.75]",,
PPM000035,PGS000018,PSS000022,PGP000008,Coronary artery disease (prevalent),"age, sex, first four genetic PCs",,31184202,10.1161/CIRCGEN.119.002481,,"1.6 [1.43,1.8]",,"0.89 [0.88,0.91]",,
PPM000036,PGS000018,PSS000019,PGP000008,Coronary artery disease (prevalent),"age, sex, first four genetic PCs, cohort recruitment centre",,31184202,10.1161/CIRCGEN.119.002481,,"1.75 [1.49,2.05]",,"0.84 [0.81,0.87]",,
PPM000037,PGS000018,PSS000020,PGP000008,Reccurent coronary artery disease events,"age, sex, first four genetic PCs",,31184202,10.1161/CIRCGEN.119.002481,,"1.17 [1.08,1.26]",,,,
PPM000038,PGS000019,PSS000023,PGP000009,Coronary artery disease in familial hypercholesterolemia patients,"age, gender, prior statin use, smoking, diabetes, hypertension, BMI, LDL-C, HDL-C, TGs, Lp(a), and type of LDLR mutation",Performance metrics are from Model 2 (adjusted for cardiovascular risk factors),28456682,10.1016/j.jacl.2017.03.019,,"1.66 [1.06,2.62]",,,,
PPM000039,PGS000019,PSS000024,PGP000009,Coronary artery disease in familial hypercholesterolemia patients,"age, gender, prior statin use, smoking, diabetes, hypertension, BMI, LDL-C, HDL-C, TGs, Lp(a), and type of LDLR mutation",Performance metrics are from Model 2 (adjusted for cardiovascular risk factors),28456682,10.1016/j.jacl.2017.03.019,,"1.8 [1.14,2.85]",,,,
PPM000040,PGS000020,PSS000025,PGP000010,Incident type 2 diabetes,"BMI category, smoking level, waist-to-hip ratio, waist circumference, physical activity level, history of high blood glucose, fruit and vegetable consumption, and sex.",Cox age-as-time-scale,27513194,10.1038/gim.2016.103,"1.48 [1.32,1.66]",,,,"0.79 [0.771,0.812]",
PPM000041,PGS000021,PSS000026,PGP000011,Severe insulin deficiency,"islet auto-antibody status, body mass index (BMI), age at diagnosis",,26577414,10.2337/dc15-1111,,,,"0.96 [0.94,0.99]",,AUROC (without covariates) = 0.87
PPM000042,PGS000022,PSS000029,PGP000012,Type 1 diabetes,,AUROCs are reported with respect to unrelated-control samples,29540798,10.1038/s41598-018-22574-5,,,,0.8508,,
PPM000043,PGS000022,PSS000028,PGP000012,Type 1 diabetes,,AUROCs are reported with respect to unrelated-control samples,29540798,10.1038/s41598-018-22574-5,,,,0.9003,,
PPM000044,PGS000022,PSS000027,PGP000012,Type 1 diabetes,,AUROCs are reported with respect to unrelated-control samples,29540798,10.1038/s41598-018-22574-5,,,,0.7522,,
PPM000045,PGS000023,PSS000030,PGP000013,Type 1 diabetes,,"NOTE: Evaluated using cross-validation on training samples (20% heldout, 1000 iterations)",30659077,10.2337/dc18-1727,,,,0.87,,
PPM000046,PGS000021,PSS000030,PGP000013,Type 1 diabetes,,,30659077,10.2337/dc18-1727,,,,0.798,,
PPM000047,PGS000023,PSS000031,PGP000013,Type 1 diabetes,,,30659077,10.2337/dc18-1727,,,,0.779,,
PPM000048,PGS000024,PSS000032,PGP000014,Type 1 diabetes,,,30655379,10.2337/dc18-1785,,,,0.921,,Youden index = 0.698
PPM000049,PGS000021,PSS000032,PGP000014,Type 1 diabetes,,,30655379,10.2337/dc18-1785,,,,0.893,,
PPM000050,PGS000025,PSS000033,PGP000015,Incident Alzheimer's disease,"age at baseline, sex, education level, APOE Ɛ4 status","HRs are derived from a meta-analysis of studies (adjusted for study center, and participant relatedness)",27340842,10.3233/JAD-150749,"1.17 [1.13,1.21]",,,,,"ΔC-index between models with and without GRS = 0.0043 [0.0019,0.0067]"
PPM000051,PGS000025,PSS000034,PGP000015,Incident Alzheimer's disease in APOE Ɛ4 carriers,"age at baseline, sex,  education level","HRs are derived from a meta-analysis of studies (adjusted for study center, and participant relatedness)",27340842,10.3233/JAD-150749,"1.24 [1.15,1.34]",,,,,"ΔC-index between models with and without GRS = 0.0112 [0.0015,0.0208]"
PPM000052,PGS000025,PSS000035,PGP000015,Incident Alzheimer's disease in APOE Ɛ4 non-carriers,"age at baseline, sex,  education level","HRs are derived from a meta-analysis of studies (adjusted for study center, and participant relatedness)",27340842,10.3233/JAD-150749,"1.13 [1.08,1.18]",,,,,"ΔC-index between models with and without GRS = 0.0018 [-0.0003,0.0039]"
PPM000053,PGS000026,PSS000036,PGP000016,Alzheimer disease,"APOE risk alleles (e2 and e4), age, sex, genetic PCs 1-5",,28323831,10.1371/journal.pmed.1002258,,,,,,r (correlation between between binned quantiles of PHS-predicted and empirical age of AD onset) = 0.9
PPM000054,PGS000027,PSS000037,PGP000017,Body mass index,First 10 genetic PCs,Beta is in units of kg/m^2,31002795,10.1016/j.cell.2019.03.028,,,1.41,,,R² = 0.085264
PPM000055,PGS000028,PSS000040,PGP000018,Breast cancer,,,27565998,10.1007/s10549-016-3953-2,,,,"0.6 [0.57,0.64]",,
PPM000056,PGS000028,PSS000040,PGP000018,Breast cancer,BCSC risk model,"BCSC risk model includes  mammographic breast density, age, ethnicity, first-degree relative with breast cancer, and history of breast biopsy",27565998,10.1007/s10549-016-3953-2,,,,"0.65 [0.61,0.68]",,
PPM000057,PGS000029,PSS000038,PGP000018,Breast cancer,,,27565998,10.1007/s10549-016-3953-2,,,,"0.64 [0.53,0.74]",,
PPM000058,PGS000029,PSS000038,PGP000018,Breast cancer,BCSC risk model,"BCSC risk model includes  mammographic breast density, age, ethnicity, first-degree relative with breast cancer, and history of breast biopsy",27565998,10.1007/s10549-016-3953-2,,,,"0.72 [0.62,0.82]",,
PPM000059,PGS000028,PSS000038,PGP000018,Breast cancer,,,27565998,10.1007/s10549-016-3953-2,,,,"0.62 [0.52,0.73]",,
PPM000060,PGS000028,PSS000039,PGP000018,Breast cancer,,,27565998,10.1007/s10549-016-3953-2,,,,"0.63 [0.59,0.67]",,
PPM000061,PGS000030,PSS000041,PGP000019,Prostate cancer,"Top 7 Genetic PCs, country",Samples were also part of the variant association,29892016,10.1038/s41588-018-0142-8,,"1.86 [1.83,1.89]",,,,
PPM000062,PGS000031,PSS000044,PGP000020,Incident type 2 diabetes cases,"age, sex, family history (parents), body mass index, systolic blood pressure, fasting glucose, log-HDL cholesterol, log-triglyceride levels","Results from the ""Clinical model""",24520119,10.2337/db13-1663,"1.06 [1.04,1.08]",,,,"0.906 [0.892,0.92]",
PPM000063,PGS000031,PSS000043,PGP000020,Incident type 2 diabetes cases,"age, sex, family history (parents), body mass index, systolic blood pressure, fasting glucose, log-HDL cholesterol, log-triglyceride levels","Results from the ""Clinical model""",24520119,10.2337/db13-1663,"1.06 [1.02,1.1]",,,,"0.853 [0.81,0.896]",
PPM000064,PGS000031,PSS000042,PGP000020,Incident type 2 diabetes cases,"age, sex, family history (parents), body mass index, systolic blood pressure, fasting glucose, log-HDL cholesterol, log-triglyceride levels","Results from the ""Clinical model"", SNPs were not weighted by their effect size as the betas were measure in Europeans",24520119,10.2337/db13-1663,"1.05 [1.0,1.09]",,,,"0.771 [0.727,0.814]",
PPM000065,PGS000032,PSS000044,PGP000020,Incident type 2 diabetes cases,"age, sex, family history (parents), body mass index, systolic blood pressure, fasting glucose, log-HDL cholesterol, log-triglyceride levels","Results from the ""Clinical model""",24520119,10.2337/db13-1663,"1.1 [1.06,1.14]",,,,,
PPM000066,PGS000032,PSS000043,PGP000020,Incident type 2 diabetes cases,"age, sex, family history (parents), body mass index, systolic blood pressure, fasting glucose, log-HDL cholesterol, log-triglyceride levels","Results from the ""Clinical model""",24520119,10.2337/db13-1663,"1.09 [1.02,1.17]",,,,,
PPM000067,PGS000032,PSS000042,PGP000020,Incident type 2 diabetes cases,"age, sex, family history (parents), body mass index, systolic blood pressure, fasting glucose, log-HDL cholesterol, log-triglyceride levels","Results from the ""Clinical model"", SNPs were not weighted by their effect size as the betas were measure in Europeans",24520119,10.2337/db13-1663,"1.06 [0.99,1.15]",,,,,
PPM000068,PGS000033,PSS000044,PGP000020,Incident type 2 diabetes cases,"age, sex, family history (parents), body mass index, systolic blood pressure, fasting glucose, log-HDL cholesterol, log-triglyceride levels","Results from the ""Clinical model""",24520119,10.2337/db13-1663,"0.98 [0.93,1.04]",,,,,
PPM000069,PGS000033,PSS000043,PGP000020,Incident type 2 diabetes cases,"age, sex, family history (parents), body mass index, systolic blood pressure, fasting glucose, log-HDL cholesterol, log-triglyceride levels","Results from the ""Clinical model""",24520119,10.2337/db13-1663,"1.01 [0.91,1.12]",,,,,
PPM000070,PGS000033,PSS000042,PGP000020,Incident type 2 diabetes cases,"age, sex, family history (parents), body mass index, systolic blood pressure, fasting glucose, log-HDL cholesterol, log-triglyceride levels","Results from the ""Clinical model"", SNPs were not weighted by their effect size as the betas were measure in Europeans",24520119,10.2337/db13-1663,"1.06 [0.99,1.15]",,,,,
PPM000071,PGS000034,PSS000048,PGP000021,mean BMI difference,,,29212779,10.2337/db17-1156,,,,,,"β (per 10-allele increment) = 0.54 [0.38,0.71]"
PPM000072,PGS000034,PSS000050,PGP000021,mean BMI difference,,,29212779,10.2337/db17-1156,,,,,,"β (per 10-allele increment) = 0.17 [0.03,0.31]"
PPM000073,PGS000034,PSS000051,PGP000021,mean BMI difference,,,29212779,10.2337/db17-1156,,,,,,"β (per 10-allele increment) = -0.22 [-0.39,-0.05]"
PPM000074,PGS000034,PSS000049,PGP000021,mean BMI difference,,,29212779,10.2337/db17-1156,,,,,,"β (per 10-allele increment) = 0.6 [0.42,0.77]"
PPM000075,PGS000034,PSS000052,PGP000021,mean BMI difference,,,29212779,10.2337/db17-1156,,,,,,"β (per 10-allele increment) = 0.07 [-0.04,0.19]"
PPM000076,PGS000034,PSS000045,PGP000021,mean BMI difference,,,29212779,10.2337/db17-1156,,,,,,"β (per 10-allele increment) = 0.23 [0.02,0.44]"
PPM000077,PGS000034,PSS000046,PGP000021,mean BMI difference,,,29212779,10.2337/db17-1156,,,,,,"β (per 10-allele increment) = -0.1 [-0.29,0.09]"
PPM000078,PGS000034,PSS000047,PGP000021,mean BMI difference,,,29212779,10.2337/db17-1156,,,,,,"β (per 10-allele increment) = -0.01 [-0.16,0.14]"
PPM000079,PGS000035,PSS000053,PGP000022,Incident atrial fibrillation,"Clinical risk (CHARGE-AF Score: height, weight, systolic and diastolic blood pressure, current smoking status, use of antihypertensive medication, diabetes mellitus, history of myocardial infarction and heart failure), age, sex, genotyping array, 1 PC of ancestry",Unadjusted for Competing Risk of Death,29129827,10.1161/CIRCULATIONAHA.117.031431,"1.14 [1.11,1.16]",,,,,
PPM000080,PGS000036,PSS000054,PGP000024,Type 2 diabetes,"genotyping array, first 6 PCs of ancestry",,31322649,10.1210/er.2019-00088,,,,0.66,,
PPM000081,PGS000036,PSS000054,PGP000024,Type 2 diabetes,"age, sex, genotyping array, first 6 PCs of ancestry",,31322649,10.1210/er.2019-00088,,,,0.73,,
PPM000082,PGS000037,PSS000055,PGP000025,"Asthma onset, up to age 38 years",sex,,24429243,10.1016/S2213-2600(13)70101-2,"1.12 [1.01,1.26]",,,,,
PPM000083,PGS000037,PSS000055,PGP000025,Life-course-persistent asthma,sex,,24429243,10.1016/S2213-2600(13)70101-2,,,,,,
PPM000084,PGS000037,PSS000056,PGP000025,Asthma onset,sex,,24429243,10.1016/S2213-2600(13)70101-2,"1.17 [1.01,1.34]",,,"0.61 [0.53,0.7]",,
PPM000085,PGS000037,PSS000056,PGP000025,Life-course-persistent asthma,sex,,24429243,10.1016/S2213-2600(13)70101-2,,,,,,
PPM000086,PGS000037,PSS000055,PGP000025,Atopy (skin test for common allergen 2mm > control),sex,,24429243,10.1016/S2213-2600(13)70101-2,,,,,,
PPM000087,PGS000037,PSS000055,PGP000025,Airway hyper-responsiveness to methacholine or albuterol,sex,,24429243,10.1016/S2213-2600(13)70101-2,,,,,,
PPM000088,PGS000037,PSS000055,PGP000025,"Incompletely reversible airflow obstruction (IRAO, post-bronchodilator FEV1:FVC more than 2SD below mean)",sex,,24429243,10.1016/S2213-2600(13)70101-2,,,,,,
PPM000089,PGS000037,PSS000055,PGP000025,Admitted to hospital for asthma,sex,,24429243,10.1016/S2213-2600(13)70101-2,,,,,,
PPM000090,PGS000038,PSS000057,PGP000026,Incident stroke,"age, sex, 10 PCs of genetic ancestry, genotyping batch","The best performing PRS (e.g. C+T thresholds) were selected based on this sample set, as well as being used for the evaluation.",30355576,10.1136/bmj.k4168,,,,,,"HR (High [top 33%] vs. Low [bottom 33%] of genetic risk) = 1.35 [1.21,1.5]"
PPM000091,PGS000039,PSS000058,PGP000027,Ischaemic stroke before age 75,"Sex, genotyping chip, 10 PCs",,31862893,10.1038/s41467-019-13848-1,"1.26 [1.22,1.31]",,,,"0.585 [0.574,0.595]",
PPM000092,PGS000038,PSS000058,PGP000027,Ischaemic stroke before age 75,"Sex, genotyping chip, 10 PCs",,31862893,10.1038/s41467-019-13848-1,"1.13 [1.1,1.17]",,,,,
PPM000093,PGS000040,PSS000059,PGP000028,Coeliac disease,,,24550740,10.1371/journal.pgen.1004137,,,,0.9,,
PPM000094,PGS000040,PSS000061,PGP000028,Coeliac disease,,,24550740,10.1371/journal.pgen.1004137,,,,0.87,,
PPM000095,PGS000040,PSS000062,PGP000028,Coeliac disease,,,24550740,10.1371/journal.pgen.1004137,,,,0.86,,
PPM000096,PGS000040,PSS000063,PGP000028,Coeliac disease,,,24550740,10.1371/journal.pgen.1004137,,,,0.87,,
PPM000097,PGS000040,PSS000060,PGP000028,Coeliac disease,,,24550740,10.1371/journal.pgen.1004137,,,,0.87,,
PPM000098,PGS000040,PSS000064,PGP000029,Coeliac disease,,,26244058,10.1186/s13073-015-0196-5,,,,"0.831 [0.808,0.85]",,
PPM000099,PGS000040,PSS000065,PGP000029,Coeliac disease in HLA-DQ2.5 carriers,,,26244058,10.1186/s13073-015-0196-5,,,,"0.669 [0.625,0.713]",,
PPM000100,PGS000041,PSS000065,PGP000029,Coeliac disease in HLA-DQ2.5 carriers,,,26244058,10.1186/s13073-015-0196-5,,,,"0.718 [0.676,0.761]",,
PPM000101,PGS000042,PSS000065,PGP000029,Coeliac disease in HLA-DQ2.5 carriers,,,26244058,10.1186/s13073-015-0196-5,,,,"0.73 [0.687,0.772]",,
PPM000102,PGS000043,PSS000066,PGP000030,Venous thromboembolism,"age, sex, 5 PCs of ancestry",,31676865,10.1038/s41588-019-0519-3,,,,,,"OR (top 5% of individuals with the highest PRS_VTE relative to the rest of the population) = 2.89 [2.52,3.3]"
PPM000103,PGS000043,PSS000067,PGP000030,Venous thromboembolism,"age, 10 PCs of ancestry, hormone therapy intervention status",,31676865,10.1038/s41588-019-0519-3,,,,,,"HR (top 5% of individuals with the highest PRS_VTE relative to the rest of the population) = 2.51 [1.97,3.19]"
PPM000104,PGS000044,PSS000068,PGP000031,Elevated serum prostate-specific antigen (PSA) levels,"cancer stage, Gleason score",,26291059,10.1038/bjc.2015.289,,,,,,"OR (per 1-point increase in PRS) = 1.23 [1.1,1.37]"
PPM000105,PGS000044,PSS000069,PGP000032,aggressive prostate cancer (Gleason score ⩾7),,,25569441,10.1038/gim.2014.192,,,,,,"OR (above vs. below 50th percentile of PRS) = 1.56 [1.15,2.1]"
PPM000106,PGS000045,PSS000070,PGP000033,Breast cancer in BRCA1 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.14 [1.11,1.17]",,,,"0.541 [0.53,0.551]",
PPM000107,PGS000045,PSS000071,PGP000033,Breast cancer in BRCA2 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.22 [1.17,1.28]",,,,"0.566 [0.551,0.581]",
PPM000108,PGS000046,PSS000070,PGP000033,Breast cancer in BRCA1 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.11 [1.08,1.15]",,,,"0.532 [0.522,0.543]",
PPM000109,PGS000046,PSS000071,PGP000033,Breast cancer in BRCA2 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.22 [1.16,1.27]",,,,"0.566 [0.551,0.581]",
PPM000110,PGS000047,PSS000070,PGP000033,Breast cancer in BRCA1 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.27 [1.23,1.31]",,,,"0.581 [0.571,0.592]",
PPM000111,PGS000047,PSS000071,PGP000033,Breast cancer in BRCA2 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.15 [1.1,1.2]",,,,"0.538 [0.523,0.553]",
PPM000112,PGS000048,PSS000072,PGP000033,Ovarian cancer in BRCA1 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.28 [1.22,1.34]",,,,"0.579 [0.559,0.6]",
PPM000113,PGS000048,PSS000073,PGP000033,Ovarian cancer in BRCA2 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.49 [1.34,1.65]",,,,"0.628 [0.592,0.665]",
PPM000114,PGS000001,PSS000070,PGP000033,Breast cancer in BRCA1 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.13 [1.1,1.16]",,,,,
PPM000115,PGS000002,PSS000070,PGP000033,Breast cancer in BRCA1 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.09 [1.06,1.12]",,,,,
PPM000116,PGS000003,PSS000070,PGP000033,Breast cancer in BRCA1 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.24 [1.21,1.28]",,,,,
PPM000117,PGS000001,PSS000071,PGP000033,Breast cancer in BRCA2 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.22 [1.17,1.28]",,,,,
PPM000118,PGS000002,PSS000071,PGP000033,Breast cancer in BRCA2 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.22 [1.17,1.27]",,,,,
PPM000119,PGS000003,PSS000071,PGP000033,Breast cancer in BRCA2 mutation carriers,"Country, birth year",,28376175,10.1093/jnci/djw302,"1.13 [1.08,1.18]",,,,,
PPM000120,PGS000045,PSS000074,PGP000034,Breast cancer in male carriers of BRCA1/2 mutations,"3 PCs of ancestry, age at breast or prostate cancer for patient-cases and age at interview for controls, mutation status of BRCA1 or BRCA2",PGS predicting Male Breast Cancer are based on association statistics from a Female Breast Cancer GWAS,28448241,10.1200/JCO.2016.69.4935,,"1.36 [1.19,1.56]",,"0.59 [0.55,0.63]",,
PPM000121,PGS000046,PSS000074,PGP000034,Breast cancer in male carriers of BRCA1/2 mutations,"3 PCs of ancestry, age at breast or prostate cancer for patient-cases and age at interview for controls, mutation status of BRCA1 or BRCA2",PGS predicting Male Breast Cancer are based on association statistics from a Female Breast Cancer GWAS,28448241,10.1200/JCO.2016.69.4935,,"1.36 [1.19,1.56]",,"0.59 [0.55,0.63]",,
PPM000122,PGS000047,PSS000074,PGP000034,Breast cancer in male carriers of BRCA1/2 mutations,"3 PCs of ancestry, age at breast or prostate cancer for patient-cases and age at interview for controls, mutation status of BRCA1 or BRCA2",PGS predicting Male Breast Cancer are based on association statistics from a Female Breast Cancer GWAS,28448241,10.1200/JCO.2016.69.4935,,"1.19 [1.05,1.35]",,"0.55 [0.51,0.59]",,
PPM000123,PGS000049,PSS000075,PGP000034,Prostate cancer in male carriers of BRCA1/2 mutations,"3 PCs of ancestry, age at breast or prostate cancer for patient-cases and age at interview for controls, mutation status of BRCA1 or BRCA2",,28448241,10.1200/JCO.2016.69.4935,,"1.56 [1.35,1.81]",,"0.62 [0.58,0.66]",,
PPM000124,PGS000049,PSS000077,PGP000034,Low prostate cancer aggressiveness (Gleason score < 7),"3 PCs of ancestry, age at breast or prostate cancer for patient-cases and age at interview for controls, mutation status of BRCA1 or BRCA2",,28448241,10.1200/JCO.2016.69.4935,,"1.44 [1.1,1.87]",,,,
PPM000125,PGS000049,PSS000076,PGP000034,High prostate cancer aggressiveness (Gleason score ≥ 7),"3 PCs of ancestry, age at breast or prostate cancer for patient-cases and age at interview for controls, mutation status of BRCA1 or BRCA2",,28448241,10.1200/JCO.2016.69.4935,,"1.67 [1.37,2.04]",,,,
